200;完美陌生人 Perfetti sconosciuti;['所有人', '婚姻', '秘密', '疮痍', '月食']
201;致我们终将逝去的青春;['室友', '老张', '疏影', '邻校', '中郑']
202;功夫熊猫2 Kung Fu Panda 2;['配音', '恶徒', '名震', '罗根', '螳螂']
203;蓝色大门 藍色大門;['情书', '男生', '淑慧', '借故', '关系']
204;甜蜜蜜;['国语版', '风风光光', '大钱', '女友', '无锡']
205;碟中谍4 Mission: Impossible - Ghost Protocol;['特工', '密码', '威饰', '女杀手', '吉饰']
206;金刚狼3：殊死一战 Logan;['超能力', '战警', '狼罗根', '莫昌', '特饰']
207;社交网络 The Social Network;['辣妹', '网站', '校方', '服务器', '社交']
208;素媛 소원;['枝枝叶叶', '街角', '杂货店', '污秽', '雨伞']
209;听说 聽說;['秧秧', '姐妹俩', '阳光男孩', '姐妹花', '意涵']
210;猜火车 Trainspotting;['戒毒', '毒品', '土豆', '文布', '病仔']
211;幸福终点站 The Terminal;['机场', '故国', '护照', '戏剧性', '证件']
212;惊天魔盗团 Now You See Me;['魔术师', '探员', '国际刑警', '赌城', '魔术']
213;变形金刚 Transformers;['霸天虎', '威震', '毒蝎', '先遣部队', '路障']
214;暮光之城 Twilight;['怪人', '凶手', '杀人', '凶案', '死亡威胁']
215;明日边缘 Edge of Tomorrow;['外星人', '时空', '战场', '战役', '主脑']
216;请以你的名字呼唤我 Call Me by Your Name;['梅饰', '莫西', '开朗', '时光', '一家人']
217;云图 Cloud Atlas;['日记', '老唱片', '记录', '舍本卫', '肖饰']
218;玛丽和马克思 Mary and Max;['配音', '布利', '动画片', '包装厂', '笔友']
219;他其实没那么喜欢你 He's Just Not That Into You;['婚姻', '爱情', '婚戒', '闺蜜饰', '趸饰']
220;借东西的小人阿莉埃蒂 借りぐらしのアリエッティ;['配音', '姨婆', '别墅', '小人', '竹下']
221;环太平洋 Pacific Rim;['机甲', '怪兽', '战士', '流浪者', '侵略者']
222;银河护卫队2 Guardians of the Galaxy Vol. 2;['星爵', '飞船', '特饰', '浣熊', '护卫队']
223;钢琴家 The Pianist;['标曼', '军官', '波兰', '钢琴师', '恶病']
224;美国队长3 Captain America: Civil War;['复仇者', '政府', '成员', '关键人物', '领导']
225;杀人回忆 살인의 추억;['探员', '女尸', '嫌疑人', '案件', '华城']
226;教父2 The Godfather: Part Ⅱ;['教父', '德尼罗', '历程', '影片', '创业']
227;无敌破坏王 Wreck-It Ralph;['游戏', '配音', '奖牌', '身份', '游戏厅']
228;青蛇;['法海', '青白', '人妖', '收服', '媚态']
229;猩球崛起 Rise of the Planet of the Apes;['猩猩', '大猩猩', '智力', '药物', '本片']
230;时空恋旅人 About Time;['时光', '超能力', '将信', '地想', '老爸']
231;不能说的秘密 不能說的·祕密;['琴房', '接吻时', '插班生', '饰带', '淡江']
232;心花路放;['流浪歌', '艳遇', '渤饰', '基友', '疗伤']
233;地心引力 Gravity;['太空', '碎片', '地球', '空间站', '骇人']
234;奇迹男孩 Wonder;['头盔', '孩子', '自卑', '脸庞', '太空']
235;动物世界;['游轮', '游戏', '母亲', '游戏机', '虾米']
236;史密斯夫妇 Mr. & Mrs. Smith;['职业', '身份', '表象', '分属', '坟墓']
237;天下无贼;['团伙', '孩子王', '饰本', '收手', '傻根']
238;超时空同居;['时空', '大龄', '佳音', '交汇点', '手握着']
239;无耻混蛋 Inglourious Basterds;['影院', '德国', '伦特', '中德', '法国']
240;海边的曼彻斯特 Manchester by the Sea;['修理工', '监护人', '伤心地', '后事', '遗嘱']
241;复仇者联盟2：奥创纪元 Avengers: Age of Ultron;['英雄', '复仇者', '雷神', '配音', '鹰眼']
242;美国队长2 Captain America: The Winter Soldier;['神盾局', '队长', '秘密', '美国', '盾局']
243;神偷奶爸2 Despicable Me 2;['配音', '大坏蛋', '露西', '费舍', '埃尔希']
244;穆赫兰道 Mulholland Dr.;['车祸', '利饰', '中失', '藏身', '公寓']
245;阿飞正传 阿飛正傳;['生母', '舞女', '售票员', '情人', '比喻']
246;超体 Lucy;['药品', '露西', '先生', '恶德', '超能力']
247;爱在日落黄昏时 Before Sunset;['维也纳', '德尔', '火车']
248;电锯惊魂 Saw;['人用', '录放机', '加利', '铁链', '死人']
249;疯狂的外星人;['渤饰', '哼哈二将', '外星人', '拮据', '物种']
250;假如爱有天意 클래식;['穷学生', '珠喜', '尚民', '母亲', '爱意']
251;捉妖记;['妖后', '永宁', '天师', '妖界', '妖王']
252;疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road;['饰带', '战郎', '血主', '战争', '尖端']
253;银翼杀手2049 Blade Runner 2049;['人类', '林饰', '银翼', '断电', '界限']
254;第九区 District 9;['外星', '地球', '飞船', '人类', '难民']
255;蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse;['蜘蛛侠', '配音', '宇宙', '蜘蛛', '瑞博尔']
256;蚁人 Ant-Man;['女儿', '博士', '屌丝', '任务', '导师']
257;后天 The Day After Tomorrow;['地球', '冰河', '温室效应', '曼哈顿', '飓风']
258;她 Her;['人工智能', '信件', '爱情', '声线', '投缘']
259;非诚勿扰;['分歧', '因能', '投者', '重遇', '海归']
260;钢铁侠3 Iron Man 3;['曼达林本', '事件', '焦虑症', '保镖', '植物学家']
261;萤火虫之墓 火垂るの墓;['妹妹', '食物', '母亲', '防空洞', '家当']
262;霍比特人1：意外之旅 The Hobbit: An Unexpected Journey;['巴金', '中土', '旅途', '远征', '矮人']
263;春娇与志明 春嬌與志明;['恋情', '见面', '幂饰', '娥姐', '地向']
264;菊次郎的夏天 菊次郎の夏;['母亲', '丧父', '外地', '关口', '奶奶']
265;比利·林恩的中场战事 Billy Lynn's Long Halftime Walk;['班长', '德州', '视频', '战友', '民众']
266;查理和巧克力工厂 Charlie and the Chocolate Factory;['工厂', '大门', '旺卡牌', '发明人', '香味']
267;心迷宫;['父权', '痞子', '同村', '宿命', '专制']
268;雨人 Rain Man;['精神病院', '哥哥', '自闭症', '住处', '气愤']
269;神秘巨星 Secret Superstar;['西亚', '名歌星', '西饰', '晶饰', '好嗓子']
270;玩具总动员3 Toy Story 3;['配音', '玩具', '阳光男孩', '玩伴', '巴斯']
271;魔女宅急便 魔女の宅急便;['魔法', '面包店', '失物', '宠物', '飞机制造']
272;变脸 Face/Off;['探员', '塔饰', '恐怖分子', '句号', '毒气']
273;蚁人2：黄蜂女现身 Ant-Man and the Wasp;['妻子', '量子', '幽灵', '队长', '功夫']
